Date,RedFighter,BlueFighter,event_name,event_url,fight_url
2026-04-25,Jack Della Maddalena,Carlos Prates,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/eb6d9fef6c374830
2026-04-25,Beneil Dariush,Quillan Salkilld,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/5c7c38dece435cde
2026-04-25,Tim Elliott,Steve Erceg,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/afec383a96893ec5
2026-04-25,Shamil Gaziev,Brando Pericic,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/a564219e7a964aa6
2026-04-25,Tai Tuivasa,Louie Sutherland,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/2afaa97901d5587c
2026-04-25,Cam Rowston,Robert Bryczek,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/46181797eb543a0b
2026-04-25,Junior Tafa,Kevin Christian,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/1cb0711cd49dd95e
2026-04-25,Jacob Malkoun,Gerald Meerschaert,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/edff38661bf2866b
2026-04-25,Colby Thicknesse,Vince Morales,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/00bde62cac38e5e9
2026-04-25,Ben Johnston,Wes Schultz,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/827c64369b374989
2026-04-25,Jonathan Micallef,Themba Gorimbo,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/7ac4ae301ed699ab
2026-04-25,Dom Mar Fan,Kody Steele,UFC Fight Night: Della Maddalena vs. Prates,http://ufcstats.com/event-details/872b018076f831b0,http://ufcstats.com/fight-details/610a640a0cd81ce5

