fight_date,event_name,red_fighter,blue_fighter,odds_source,odds_note
2025-01-18,UFC 311: Makhachev vs. Moicano,Jailton Almeida,Serghei Spivac,default_missing,no FightOdds bout match found; defaulted to -10000
2025-02-08,UFC 312: Du Plessis vs. Strickland 2,Rongzhu,Kody Steele,default_missing,no FightOdds bout match found; defaulted to -10000
2025-03-01,UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos,Chepe Mariscal,default_missing,no FightOdds bout match found; defaulted to -10000
2025-03-08,UFC 313: Pereira vs. Ankalaev,King Green,Mauricio Ruffy,default_missing,no FightOdds bout match found; defaulted to -10000
2025-03-15,UFC Fight Night: Vettori vs. Dolidze 2,SuYoung You,AJ Cunningham,default_missing,no FightOdds bout match found; defaulted to -10000
2025-03-29,UFC Fight Night: Moreno vs. Erceg,Ronaldo Rodriguez,Kevin Borjas,default_missing,no FightOdds bout match found; defaulted to -10000
2025-04-12,UFC 314: Volkanovski vs. Lopes,Yair Rodriguez,Patricio Pitbull,default_missing,no FightOdds bout match found; defaulted to -10000
2025-05-17,UFC Fight Night: Burns vs. Morales,Tecia Pennington,Luana Pinheiro,default_missing,no FightOdds bout match found; defaulted to -10000
2025-05-31,UFC Fight Night: Blanchfield vs. Barber,Rayanne dos Santos,Alice Ardelean,default_missing,no FightOdds bout match found; defaulted to -10000
2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,Ariane da Silva,Wang Cong,default_missing,no FightOdds bout match found; defaulted to -10000
2025-07-19,UFC 318: Holloway vs. Poirier 3,Dan Ige,Patricio Pitbull,default_missing,no FightOdds bout match found; defaulted to -10000
2025-08-22,UFC - Road to UFC 4.6,Shi Ming,Bruna Brasil,default_missing,no FightOdds event found for event date
2025-08-22,UFC - Road to UFC 4.6,Nyamjargal Tumendemberel,Terrance Saeteurn,default_missing,no FightOdds event found for event date
2025-08-23,UFC Fight Night: Walker vs. Zhang,Rongzhu,Austin Hubbard,default_missing,no FightOdds bout match found; defaulted to -10000
2025-08-23,UFC Fight Night: Walker vs. Zhang,Yizha,Westin Wilson,default_missing,no FightOdds bout match found; defaulted to -10000
2025-08-23,UFC Fight Night: Walker vs. Zhang,Xiao Long,SuYoung You,default_missing,no FightOdds bout match found; defaulted to -10000
2025-10-18,UFC Fight Night: De Ridder vs. Allen,Cody Gibson,Aoriqileng,default_missing,no FightOdds bout match found; defaulted to -10000
2025-10-25,UFC 321: Aspinall vs. Gane,Alexander Volkov,Jailton Almeida,default_missing,no FightOdds bout match found; defaulted to -10000
2025-11-08,UFC Fight Night: Bonfim vs. Brown,Tecia Pennington,Denise Gomes,default_missing,no FightOdds bout match found; defaulted to -10000
2025-11-15,UFC 322: Della Maddalena vs. Makhachev,Pat Sabatini,Chepe Mariscal,default_missing,no FightOdds bout match found; defaulted to -10000
2025-12-13,UFC Fight Night: Royval vs. Kape,King Green,Lance Gibson Jr.,default_missing,no FightOdds bout match found; defaulted to -10000
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Kaan Ofli,Yizha,default_missing,no FightOdds bout match found; defaulted to -10000
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Sangwook Kim,Dom Mar Fan,default_missing,no FightOdds bout match found; defaulted to -10000
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Sulangrangbo,Lawrence Lui,default_missing,no FightOdds bout match found; defaulted to -10000
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Jailton Almeida,Rizvan Kuniev,default_missing,no FightOdds bout match found; defaulted to -10000
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber,King Green,default_missing,no FightOdds bout match found; defaulted to -10000
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Elijah Smith,SuYoung You,default_missing,no FightOdds bout match found; defaulted to -10000
2026-04-11,UFC 327: Prochazka vs. Ulberg,Patricio Pitbull,Aaron Pico,default_missing,no FightOdds bout match found; defaulted to -10000
